"All category URLs will be changed. This action cannot be undone. Do you want to confirm it?","All category URLs will be changed. This action cannot be undone. Do you want to confirm it?"
"Error during request.","Error during request."
"Error during removal of category path.","Error during removal of category path."
Attention,Attention
"Add Canonical URL Meta Header","Add Canonical URL Meta Header"
"Use longest product URL as canonical","Use longest product URL as canonical"
"Associated Products Canonical Tag for Configurable Products","Associated Products Canonical Tag for Configurable Products"
"Associated Products Canonical Tag for Grouped Products","Associated Products Canonical Tag for Grouped Products"
"Associated Products Canonical Tag for Bundle Products","Associated Products Canonical Tag for Bundle Products"
"Canonical to store without store code","Canonical to store without store code"
"Cross Domain Canonical URL","Cross Domain Canonical URL"
"Prefer https for Cross Domain Canonical URL","Prefer https for Cross Domain Canonical URL"
"Add '?p=' to paginated content","Add '?p=' to paginated content"
"Don't use canonical URLs on pages","Don't use canonical URLs on pages"
"Robots Meta Header","Robots Meta Header"
"Robots Meta Header for HTTPS","Robots Meta Header for HTTPS"
"Enable Link Rel=""next/prev""","Enable Link Rel=""next/prev"""
"<strong><u>Alternate configuration:</u></strong>","<strong><u>Alternate configuration:</u></strong>"
"Enable Link Rel=""alternate"" and hreflang","Enable Link Rel=""alternate"" and hreflang"
"Configure alternate manually","Configure alternate manually"
"Add hreflang x-default (not necessary)","Add hreflang x-default (not necessary)"
"Add hreflang locale code automatically (not necessary)","Add hreflang locale code automatically (not necessary)"
"Cut category additional data for alternate URL","Cut category additional data for alternate URL"
"Hreflang locale code (not necessary)","Hreflang locale code (not necessary)"
"Redirect urls to lowercase","Redirect urls to lowercase"
"Remove Parent Category Path for Category URLs","Remove Parent Category Path for Category URLs"
"Remove Parent Category Path","Remove Parent Category Path"
"Save configuration before pushing the button","Save configuration before pushing the button"
"Product URL Key Template","Product URL Key Template"
"Apply URL Key for new products","Apply URL Key for new products"
"Trailing Slash","Trailing Slash"
"Enable SEO-friendly URLs for Product Images","Enable SEO-friendly URLs for Product Images"
"Template for URL key of Product Images","Template for URL key of Product Images"
"Enable generation of Product Images Alt and Title","Enable generation of Product Images Alt and Title"
"Template for Product Images Alt","Template for Product Images Alt"
"General Information","General Information"
"Is Active","Is Active"
"Canonical URL","Canonical URL"
"Visible in Store View","Visible in Store View"
"All Store Views","All Store Views"
"Check URL for Regular expression","Check URL for Regular expression"
"Sort order","Sort order"
Comments,Comments
"Add Canonical Rewrite","Add Canonical Rewrite"
"Change status","Change status"
"Delete items","Delete items"
"Are you sure you want to delete the selected items?","Are you sure you want to delete the selected items?"
ID,ID
"Regular expression","Regular expression"
Status,Status
"Store View","Store View"
"Request URL","Request URL"
"Target URL","Target URL"
"Redirect Type","Redirect Type"
"Redirect only if the request URL can't be found (404)","Redirect only if the request URL can't be found (404)"
"Redirect type","Redirect type"
"Brand Data","Brand Data"
"Blog Data","Blog Data"
"Template for Product Images Title","Template for Product Images Title"
