attribute_set,attribute_group,frontend_label_0,attribute_code,frontend_label_1,description,frontend_input,options,note,is_global,is_filterable,is_required,default_value_text,is_unique,frontend_class,is_used_in_grid,is_searchable,search_weight,is_visible_in_advanced_search,is_filterable_in_grid,is_filterable_in_search,position,is_used_for_promo_rules,is_html_allowed_on_front,is_visible_on_front,used_in_product_listing,used_for_sort_by
Lenses,Product Details,Fixed Focal Length,fixed_focal_lenth,,,Dropdown,"4.5mm, 5.6mm, 5.8mm, 6.5mm, 7.3mm, 7.5mm, 8mm, 9mm, 10mm, 10.5mm, 11mm, 12mm, 14mm, 15mm, 16mm, 17mm, 17.5mm, 18mm, 19mm, 20mm, 21mm, 22mm, 23mm, 24mm, 25mm, 27mm, 28mm, 30mm, 31mm, 32mm, 35mm, 40mm, 42.5mm, 43mm, 45mm, 50mm, 55mm, 56mm, 58mm, 60mm, 65mm, 70mm, 75mm, 77mm, 80mm, 85mm, 90mm, 100mm, 105mm, 110mm, 135mm, 150mm, 180mm, 200mm, 300mm, 400mm, 500mm, 560mm, 600mm, 800mm, ",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,30,No,Yes,No,No,No
Lenses,Product Details,Zoom Focal Length,zoom_focal_length,,,Dropdown,"6-11mm, 7-14mm, 8-16mm, 8-18mm, 9-18mm, 10-18mm, 10-24mm, 11-22mm, 11-23mm, 12-24mm, 12-35mm, 12-40mm, 12-60mm, 12-100mm, 12-400mm, 14-30mm, 14-42mm, 14-45mm, 14-140mm, 14-150mm, 15-45mm, 16-35mm, 16-50mm, 16-55mm, 16-70mm, 17-28mm, 18-55mm, 18-56mm, 18-105mm, 18-135mm, 18-150mm, 18-200mm, 24-70mm, 24-90mm, 24-105mm, 24-240mm, 28-70mm, 28-75mm, 35-100mm, 40-150mm, 45-150mm, 45-175mm, 45-200mm, 50-140mm, 50-200mm, 50-230mm, 55-135mm, 55-200mm, 55-210mm, 70-200mm, 70-300mm, 75-300mm, 90-280mm, 100-300mm, 100-400mm, 150-600mm",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,40,No,Yes,No,No,No
Lenses,Product Details,Image Stabilisation,image_stabilisation,,,Dropdown,"Yes, No",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,50,No,Yes,No,No,No
Lenses,Product Details,Lens Format,lens_format,,,Dropdown,"Full Frame Lenses, APS-C Lenses, Four Thirds, Micro Four Thirds, 1""",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,30,No,Yes,No,No,No
Lenses,Product Details,Maximum Aperture,aperture,,,Dropdown,"f/1.2, f/1.4, f/1.8, f/1.9, f/2, f/2.4, f/2.5, f/2.8, f/3.2, f/3.5, f/3.5-4.5, f/3.5-5.6, f/2.8-4, f/4, f/4-5.6, f/4.5, f/5.6, f/3.5-6.3, f/6.3, f/8, f/4-5.8, f/4.5-5.6, f/4.5-6.3, f/14, f/5-6.3",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,51,No,Yes,No,No,No
Lenses,Product Details,Special Features,special_features_lenses,,,Multiple Select,"Aspherical, Bokeh Effect, Tilt/Shift, Weather Resistant, Dustproof/Splashproof",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,60,No,Yes,No,No,No
Lenses,Product Details,Focus Type,focus_type,,,Multiple Select,"Autofocus, Manual Focus Only",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,41,No,Yes,No,No,No
Lenses,Product Details,Lens Type,lens_type,,,Multiple Select,"Wide, Wide Zoom, Standard, Standard Zoom, All-In-One Zoom, Medium Telephoto, Telephoto, Super Telephoto, Telephoto Zoom",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,30,No,Yes,No,No,No
Lenses,Product Details,Lens Series,lens_series,,,Dropdown,"Canon BR, Canon EF Series, Canon STM Series, Canon EF-S Series, Canon L Series, Canon TS-E, Canon USM Series, Irix Blackstone, Irix Dragonfly Series, Irix Firefly Series, Lensbaby Sol Series, Mitakon Creator, Mitakon Speedmaster, Nikkor ED, Nikon AF-D, Nikon AF-P Series, Nikon AF-S Series, Nikon AI-S Series, Nikon DX, Nikon E Series, Nikon G Series, Nikon PC-E, Nikon PF, Pentax DA, Samyang HD, Pentax FA, Pentax HD, Sigma ART Series, Rokinon SP, Samyang XP, Sigma DC, Sony G, Sigma DG, Sigma Sports, Sony DT, Sony Zeiss, Tamron Di, Venus Laowa, Tamron Di II, Tamron PZD, Tokina AT-X, Voigtlander Nokton, Tokina DX, Tokina FX, Tokina opera, Voigtlander Ultron, Yongnuo YN, Zeiss Classic, Zeiss Milvus, Zeiss Otus, Zeiss ZE",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,10,No,Yes,No,No,No
Lenses,Digital Cine Lenses,Zoom Ratio,zoom_ratio,,,Dropdown,"1.5x, 1.75x, 1.8x, 1.9x, 2x, 2.4x, 2.5x, 2.7x, 2.8x, 2.9x, 3x, 3.5x, 4x, 4.1x, 4.4x, 4.7x, 4.8x, 5.3x, 5.5x, 6x, 7x, 7.5x, 10x, 12x, 20x",,Global,No,No,,No,None,Yes,Yes,,Yes,Yes,No,10,No,Yes,No,No,No
